City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
273,phan rang-thap cham,11.5667,108.9833,26.62,77,66,1.2,VN,1718229061
274,bardai,11.65,7.2333,28.16,50,14,2.81,NG,1718229061
275,ust-tsilma,65.441,52.1498,14.23,73,88,1.79,RU,1718229061
276,zaltan,32.947,11.8665,23.95,81,98,5.25,LY,1718229061
277,san antonio oeste,-40.7319,-64.9477,14.96,55,100,4.48,AR,1718229026
278,muroto-misakicho,33.2833,134.15,22.27,85,91,3.59,JP,1718229061
279,kill devil hills,36.0307,-75.676,24.43,64,0,4.12,US,1718229062
280,tartouss,34.889,35.8866,25.57,70,0,1.48,SY,1718229062
281,mirny,62.5353,113.9611,14.57,74,48,2.24,RU,1718229062
282,vereshchagino,58.0789,54.6557,18.76,91,0,3.13,RU,1718229062
283,egilsstadir,65.2653,-14.3948,11.95,58,0,7.2,IS,1718229062
284,fort bragg,35.139,-79.006,31.01,44,20,2.06,US,1718229062
285,markovo,57.3206,107.0881,13.64,90,72,1.04,RU,1718229062
286,south hedland,-20.4089,118.5983,14.96,55,2,2.06,AU,1718229062
287,iranshahr,27.2025,60.6848,37.19,18,0,3.09,IR,1718229057
288,nizhneangarsk,55.7833,109.55,6.67,95,100,1.79,RU,1718229062
289,ghormach,35.7306,63.7826,27.87,22,0,2.7,AF,1718229062
290,balabac,7.9868,117.0645,27.81,77,99,2.5,PH,1718229062
291,saint-philippe,-21.3585,55.7679,21.77,82,100,8.47,RE,1718229062
292,barjala,23.6167,91.3667,25.7,95,97,3.31,IN,1718229062
293,kirakira,-10.4544,161.9205,28.0,81,86,1.49,SB,1718229062
294,silifke,36.3778,33.9344,28.42,53,0,3.75,TR,1718229062
295,uturoa,-16.7333,-151.4333,25.92,66,21,7.97,PF,1718229063
296,la libertad,-2.2333,-80.9,24.81,78,75,3.6,EC,1718229063
297,abatskoye,56.2875,70.4555,14.58,72,38,1.37,RU,1718229063
298,kalmunai,7.4167,81.8167,27.21,77,100,3.05,LK,1718229063
299,kerikeri,-35.2268,173.9474,12.73,94,100,3.9,NZ,1718229063
300,hamilton,39.1834,-84.5333,29.44,37,0,3.09,US,1718229063
301,fort mcmurray,56.7268,-111.381,18.77,63,100,4.12,CA,1718229063
302,luga,58.7372,29.8453,9.8,85,75,0.76,RU,1718229063
303,sakakah,29.9697,40.2064,31.76,12,0,4.88,SA,1718229063
304,qarqin,37.4185,66.0436,31.0,23,17,4.11,AF,1718229063
305,zakamensk,50.3741,103.2863,7.71,83,21,1.33,RU,1718229063
306,sandersville,32.9815,-82.8101,32.82,44,100,0.89,US,1718229063
307,vila franca do campo,37.7167,-25.4333,19.23,99,23,1.86,PT,1718229063
308,grantsville,40.5999,-112.4644,36.59,26,0,5.66,US,1718229032
309,guerrero negro,27.9769,-114.0611,22.25,59,0,8.7,MX,1718229063
310,novyy urgal,51.0736,132.5642,12.46,67,6,1.62,RU,1718229063
311,qui nhon,13.7667,109.2333,27.41,74,58,1.92,VN,1718229063
312,soure,-0.7167,-48.5233,26.67,81,99,2.79,BR,1718228895
313,tual,-5.6667,132.75,26.36,78,100,8.39,ID,1718229063
314,freetown,8.484,-13.2299,26.23,86,100,2.9,SL,1718229063
